hex_id,geometry,geom_time_min_5
8a1f99cdd4dffff,"POLYGON ((514779.831146307 5034343.66047366, 514853.75995962444 5034368.287290138, 514908.51583278604 5034319.109583016, 514889.34256593353 5034245.304583382, 514815.4131852533 5034220.677780982, 514760.6576387866 5034269.855964133, 514779.831146307 5034343.66047366))","POLYGON ((514878.14328801364 5034289.897070263, 514835.90539553406 5034295.39649982, 514831.929849469 5034297.098008778, 514830.51837523206 5034298.894448374, 514820.7331717079 5034370.595564882, 514831.0117902745 5034371.397493682, 514847.7033661566 5034371.2258251095, 514874.9578628579 5034324.4073568275, 514878.14328801364 5034289.897070263))"
8a1f99cdd797fff,"POLYGON ((515001.6182467535 5034417.5411549285, 515075.54772053653 5034442.168203236, 515130.3047749992 5034392.990590928, 515111.13202898495 5034319.185454259, 515037.20198781247 5034294.558420019, 514982.4452600405 5034343.736508373, 515001.6182467535 5034417.5411549285))","POLYGON ((515135.84985025646 5034363.536532785, 515039.5879754669 5034363.616486572, 515020.8820870371 5034365.915892648, 515025.23021344864 5034375.14733758, 515026.66577206715 5034376.37283705, 515042.85723810253 5034385.899258485, 515108.638652821 5034404.610269837, 515131.9220628184 5034410.321130534, 515139.1767221183 5034368.255059448, 515135.84985025646 5034363.536532785))"
8a1f99cdd4cffff,"POLYGON ((514946.86204690294 5034466.718386001, 515001.6182467535 5034417.5411549285, 514982.4452600405 5034343.736508373, 514908.51583278604 5034319.109583016, 514853.75995962444 5034368.287290138, 514872.9331870311 5034442.091446577, 514946.86204690294 5034466.718386001))","POLYGON ((514907.94220640085 5034406.597295853, 514891.84365245624 5034430.378319044, 514892.2772891016 5034475.018118484, 514973.5166131162 5034476.166607723, 515015.64635699673 5034476.211588831, 514971.5940255675 5034443.110669073, 514907.94220640085 5034406.597295853))"
8a1f99cdd4c7fff,"POLYGON ((514853.75995962444 5034368.287290138, 514779.831146307 5034343.66047366, 514725.0761277708 5034392.837799553, 514744.2495958658 5034466.641465883, 514818.17784180655 5034491.26829642, 514872.9331870311 5034442.091446577, 514853.75995962444 5034368.287290138))","POLYGON ((514752.9563829206 5034375.457665342, 514750.514940589 5034383.084295861, 514796.8579584888 5034426.787700594, 514799.5735696946 5034428.904938241, 514802.9873412783 5034430.012839138, 514841.8713137474 5034430.771139049, 514837.12439613783 5034381.743941598, 514814.14955913863 5034377.634698999, 514752.9563829206 5034375.457665342))"
8a1f99cdd7b7fff,"POLYGON ((515075.54772053653 5034442.168203236, 515001.6182467535 5034417.5411549285, 514946.86204690294 5034466.718386001, 514966.03499415406 5034540.5221893145, 515039.9639005331 5034565.14925167, 515094.7204270681 5034515.972496669, 515075.54772053653 5034442.168203236))","POLYGON ((515021.44948768284 5034458.87210596, 515016.9316687999 5034487.957614064, 515016.92448610463 5034494.234577968, 515016.93161350314 5034494.523447229, 515031.88615249563 5034458.897062989, 515027.6411270326 5034458.886909836, 515024.2951401114 5034458.878909003, 515021.44948768284 5034458.87210596))"
8a1f99cdd4effff,"POLYGON ((514837.3510297743 5034565.071609619, 514911.27932224714 5034589.698563087, 514966.03499415406 5034540.5221893145, 514946.86204690294 5034466.718386001, 514872.9331870311 5034442.091446577, 514818.17784180655 5034491.26829642, 514837.3510297743 5034565.071609619))","POLYGON ((514852.3497129878 5034466.08029995, 514842.33109775797 5034467.800851213, 514835.1562612887 5034496.813553071, 514852.8252664452 5034585.7106764205, 514940.98234485096 5034586.608474434, 515066.0561550654 5034531.247502602, 515056.0397400708 5034489.650991512, 515050.59631938423 5034487.33824338, 514852.3497129878 5034466.08029995))"
8a1f99cdd4e7fff,"POLYGON ((514744.2495958658 5034466.641465883, 514689.4951052852 5034515.817934499, 514708.66853396624 5034589.62075759, 514782.5962125127 5034614.247602167, 514837.3510297743 5034565.071609619, 514818.17784180655 5034491.26829642, 514744.2495958658 5034466.641465883))","POLYGON ((514767.38827388803 5034525.116979012, 514761.14867809415 5034538.889455843, 514757.07083966077 5034550.933902261, 514761.0889874076 5034550.987778762, 514767.317557176 5034535.248858898, 514767.37140781805 5034532.293805329, 514767.3812246041 5034528.116581333, 514767.38827388803 5034525.116979012))"
8a1f99cdd45ffff,"POLYGON ((514966.03499415406 5034540.5221893145, 514911.27932224714 5034589.698563087, 514930.4522300441 5034663.501523124, 515004.3805690034 5034688.128599505, 515059.1365675874 5034638.952701827, 515039.9639005331 5034565.14925167, 514966.03499415406 5034540.5221893145))","POLYGON ((514962.8628561956 5034590.304521123, 514934.37993723096 5034693.690315476, 514947.6992471564 5034717.396766234, 514951.81661369646 5034718.417545534, 514955.7586211022 5034717.571479793, 515027.51760432316 5034615.144571683, 515030.74655029515 5034605.220219979, 514962.8628561956 5034590.304521123))"
8a1f99cdd6b7fff,"POLYGON ((515146.7168258458 5034196.201004797, 515165.8896113523 5034270.006984664, 515239.82026642386 5034294.634127785, 515294.5787033707 5034245.45527695, 515281.05847386894 5034193.407723593, 515150.1797571925 5034193.090841638, 515146.7168258458 5034196.201004797))","POLYGON ((515150.16080448264 5034108.836761359, 515158.721935761 5034309.709621394, 515244.045263199 5034284.696998493, 515291.6663051558 5034235.818921728, 515306.9181635546 5034217.036222625, 515152.4963189281 5034109.720057889, 515150.16080448264 5034108.836761359))"
8a1f99cdd6a7fff,"POLYGON ((515258.9927717381 5034368.439754577, 515332.92347329314 5034393.067020656, 515387.68223693466 5034343.88864587, 515368.50997232524 5034270.08252895, 515294.5787033707 5034245.45527695, 515239.82026642386 5034294.634127785, 515258.9927717381 5034368.439754577))","POLYGON ((515293.529182075 5034315.23558711, 515273.2703750525 5034335.561507315, 515314.3361216535 5034394.054038933, 515390.31419575895 5034322.126583405, 515293.529182075 5034315.23558711))"
